VIN (1-10);County;City;State;Postal Code;Model Year;Model;Electric Vehicle Type;Clean Alternative Fuel Vehicle (CAFV) Eligibility;Electric Range;Base MSRP;Legislative District;DOL Vehicle ID;Vehicle Location;Electric Utility;2020 Census Tract
1C4JJXP66P;Kitsap;Poulsbo;WA;98370;2023;74;2;3;21;0;23;258127145;POINT (-122.64681 47.73689);PUGET SOUND ENERGY INC;53035091100
1G1FX6S08K;Snohomish;Lake Stevens;WA;98258;2019;35;1;1;238;0;44;4735426;POINT (-122.06402 48.01497);PUGET SOUND ENERGY INC;53061052607
WBY1Z2C58F;King;Seattle;WA;98116;2015;20;1;1;81;0;34;272697666;POINT (-122.41067 47.57894);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033009600
5YJ3E1EBXK;King;Seattle;WA;98178;2019;131;1;1;220;0;37;477309682;POINT (-122.23825 47.49461);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033011902
5YJSA1V24F;Yakima;Selah;WA;98942;2015;132;1;1;208;0;15;258112970;POINT (-120.53145 46.65405);PACIFICORP;53077003200
1C4JJXP64M;Kitsap;Bremerton;WA;98312;2021;74;2;3;25;0;26;167243303;POINT (-122.6563 47.56739);PUGET SOUND ENERGY INC;53035081100
WBAJB1C58K;Thurston;Lacey;WA;98503;2019;16;2;3;15;55700;22;475113859;POINT (-122.82324 47.04437);PUGET SOUND ENERGY INC;53067011410
5YJXCBE45H;King;Kent;WA;98031;2017;133;1;1;200;0;47;141889702;POINT (-122.17743 47.41185);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033029406
1G1FZ6S06L;Yakima;Yakima;WA;98902;2020;35;1;1;259;0;14;151200255;POINT (-120.52401 46.59739);PACIFICORP;5307700042
5YJ3E1EA5K;Snohomish;Lynnwood;WA;98087;2019;131;1;1;220;0;21;110038288;POINT (-122.27981 47.85727);PUGET SOUND ENERGY INC;53061041812
1N4BZ0CP8H;Snohomish;Lynnwood;WA;98087;2017;113;1;1;107;0;21;476821908;POINT (-122.27981 47.85727);PUGET SOUND ENERGY INC;53061041816
JTJAAAAB4P;Kitsap;Olalla;WA;98359;2023;87;1;2;0;0;26;257863637;POINT (-122.54729 47.42602);PUGET SOUND ENERGY INC;53035092803
KNDC3DLC6R;Kitsap;Poulsbo;WA;98370;2024;75;1;2;0;0;23;269349048;POINT (-122.64681 47.73689);PUGET SOUND ENERGY INC;53035940100
1N4AZ1CPXL;Kitsap;Suquamish;WA;98392;2020;113;1;1;149;0;23;105033995;POINT (-122.55242 47.73162);PUGET SOUND ENERGY INC;53035940100
1N4BZ1CP4K;King;Seattle;WA;98144;2019;113;1;1;150;0;37;168586911;POINT (-122.30866 47.57874);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);5303300942
5YJSA1E29H;King;Issaquah;WA;98027;2017;132;1;1;210;0;5;161449207;POINT (-122.03439 47.5301);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033032104
5YJSA1H18E;Kitsap;Poulsbo;WA;98370;2014;132;1;1;208;69900;23;206534037;POINT (-122.64681 47.73689);PUGET SOUND ENERGY INC;53035090400
LPSED3K3M;Island;Oak Harbor;WA;98277;2021;115;1;1;233;0;10;275383685;POINT (-122.64682 48.29077);PUGET SOUND ENERGY INC;53029970800
5YJSA1E24G;King;Kenmore;WA;98028;2016;132;1;1;210;0;46;476329178;POINT (-122.24369 47.75892);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033022101
KM8S6DA23N;Kitsap;Poulsbo;WA;98370;2022;69;2;1;31;0;23;212217764;POINT (-122.64681 47.73689);PUGET SOUND ENERGY INC;53035091100
WBY1Z4C58F;Kitsap;Seabeck;WA;98380;2015;20;2;1;72;0;35;3572089;POINT (-122.81585 47.64509);PUGET SOUND ENERGY INC;53035092000
7SAYGDEF0P;Yakima;Toppenish;WA;98948;2023;134;1;2;0;0;15;244780189;POINT (-120.31298 46.37508);PACIFICORP;53077940006
5YJXCBE29G;King;Sammamish;WA;98074;2016;133;1;1;200;0;45;6097171;POINT (-122.02054 47.60326);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033032317
1C4RJXN60R;Kitsap;Port Orchard;WA;98366;2024;74;2;3;21;0;26;257719346;POINT (-122.63847 47.54103);PUGET SOUND ENERGY INC;53035092600
WBA8E1C59J;Kitsap;Poulsbo;WA;98370;2018;15;2;3;14;45600;23;219734462;POINT (-122.64681 47.73689);PUGET SOUND ENERGY INC;53035090201
JTDKARFP8J;Kitsap;Silverdale;WA;98383;2018;140;2;3;25;0;23;194152171;POINT (-122.69275 47.65171);PUGET SOUND ENERGY INC;53035090400
5YJ3E1EB9J;Kitsap;Bremerton;WA;98312;2018;131;1;1;215;0;35;264273663;POINT (-122.6563 47.56739);PUGET SOUND ENERGY INC;53035080700
7FCTGAAA0N;Thurston;Yelm;WA;98597;2022;123;1;2;0;0;20;216621401;POINT (-122.60735 46.94239);PUGET SOUND ENERGY INC;53067012531
YV4H60DL9N;Thurston;Olympia;WA;98501;2022;154;2;1;35;0;22;204708647;POINT (-122.89166 47.03956);PUGET SOUND ENERGY INC;53067010100
5UXTA6C04M;King;Seattle;WA;98119;2021;27;2;1;30;0;36;244932159;POINT (-122.3684 47.64586);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033006900
3C3CFFGE5F;Thurston;Yelm;WA;98597;2015;42;1;1;87;0;2;474468501;POINT (-122.60735 46.94239);PUGET SOUND ENERGY INC;53067012422
1G1FY6S01N;Yakima;Yakima;WA;98902;2022;34;1;2;0;0;14;202886050;POINT (-120.52401 46.59739);PACIFICORP;53077000800
5YJYGDEE0M;Snohomish;Bothell;WA;98021;2021;134;1;2;0;0;1;152095912;POINT (-122.18384 47.8031);PUGET SOUND ENERGY INC;53061051937
5YJ3E1EB6J;King;Seattle;WA;98116;2018;131;1;1;215;0;34;47450242;POINT (-122.41067 47.57894);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033009802
5YJSA1E49H;Kitsap;Bainbridge Island;WA;98110;2017;132;1;1;210;0;23;187859941;POINT (-122.521 47.62728);PUGET SOUND ENERGY INC;53035091002
1G1FZ6S05K;Kitsap;Poulsbo;WA;98370;2019;35;1;1;238;0;23;475437938;POINT (-122.64681 47.73689);PUGET SOUND ENERGY INC;53035090201
5YJSA1S23F;Snohomish;Edmonds;WA;98020;2015;132;1;1;208;0;21;118167990;POINT (-122.37689 47.81116);PUGET SOUND ENERGY INC;53061050502
5YJ3E1EB3J;King;Bothell;WA;98011;2018;131;1;1;215;0;1;269489167;POINT (-122.20563 47.76144);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033022102
5YJ3E1EB0L;Snohomish;Bothell;WA;98012;2020;131;1;1;322;0;44;126152974;POINT (-122.21061 47.83448);PUGET SOUND ENERGY INC;53061052010
5YJYGDEE2M;Snohomish;Bothell;WA;98012;2021;134;1;2;0;0;1;262654192;POINT (-122.21061 47.83448);PUGET SOUND ENERGY INC;53061052009
JM3KKDHA7R;Kitsap;Poulsbo;WA;98370;2024;93;2;3;26;0;23;270047242;POINT (-122.64681 47.73689);PUGET SOUND ENERGY INC;53035091100
JM3KKCHAXS;Thurston;Olympia;WA;98502;2025;93;2;3;26;0;22;275694401;POINT (-122.92333 47.03779);PUGET SOUND ENERGY INC;53067010520
KNDCC3LD7N;Snohomish;Bothell;WA;98012;2022;77;2;3;26;0;1;194200681;POINT (-122.21061 47.83448);PUGET SOUND ENERGY INC;53061051936
5YJ3E1EA8R;Snohomish;Bothell;WA;98012;2024;131;1;2;0;0;1;272139472;POINT (-122.21061 47.83448);PUGET SOUND ENERGY INC;53061052009
5YJ3E1EA5J;King;Kent;WA;98032;2018;131;1;1;215;0;33;248653954;POINT (-122.23741 47.3807);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033029206
5YJSA1E22K;Kitsap;Poulsbo;WA;98370;2019;132;1;1;270;0;23;301647265;POINT (-122.64681 47.73689);PUGET SOUND ENERGY INC;53035090501
5YJXCDE25H;King;Sammamish;WA;98075;2017;133;1;1;200;0;41;5470846;POINT (-122.03539 47.61344);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033032218
5YJXCDE46K;Kitsap;Poulsbo;WA;98370;2019;133;1;1;289;0;23;142025740;POINT (-122.64681 47.73689);PUGET SOUND ENERGY INC;53035090502
YV4BR00K8L;Snohomish;Bothell;WA;98012;2020;155;2;3;18;0;1;478549984;POINT (-122.21061 47.83448);PUGET SOUND ENERGY INC;53061052107
5YJYGDEE8L;Thurston;Tumwater;WA;98501;2020;134;1;1;291;0;35;124633715;POINT (-122.89166 47.03956);PUGET SOUND ENERGY INC;53067011720
5YJ3E1EB5K;King;Redmond;WA;98052;2019;131;1;1;220;0;48;478609771;POINT (-122.13158 47.67858);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033022902
5YJSA1DP8D;Snohomish;Stanwood;WA;98292;2013;132;1;1;208;69900;10;111162012;POINT (-122.37265 48.24159);PUGET SOUND ENERGY INC;53061053202
7PDSGABA2P;Snohomish;Bothell;WA;98012;2023;122;1;2;0;0;1;253590858;POINT (-122.21061 47.83448);PUGET SOUND ENERGY INC;53061052009
JN1AZ0CP5B;King;Sammamish;WA;98075;2011;113;1;1;73;0;41;164145264;POINT (-122.03539 47.61344);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033032207
5YJ3E1EB9J;Snohomish;Bothell;WA;98021;2018;131;1;1;215;0;1;109867208;POINT (-122.18384 47.8031);PUGET SOUND ENERGY INC;53061051937
WA1AAAGE1N;Yakima;Yakima;WA;98902;2022;5;1;2;0;0;14;259524877;POINT (-120.52401 46.59739);PACIFICORP;5307700042
JTJCJMGA1R;Thurston;Olympia;WA;98502;2024;86;2;1;37;0;22;269483644;POINT (-122.92333 47.03779);PUGET SOUND ENERGY INC;53067011100
1N4AZ1BP3L;Kitsap;Poulsbo;WA;98370;2020;113;1;1;149;0;23;122211651;POINT (-122.64681 47.73689);PUGET SOUND ENERGY INC;53035090502
1N4AZ0CP4E;Snohomish;Edmonds;WA;98026;2014;113;1;1;84;0;32;247511316;POINT (-122.31768 47.87166);PUGET SOUND ENERGY INC;53061050800
5YJ3E1EA2J;Thurston;Olympia;WA;98502;2018;131;1;1;215;0;35;349687754;POINT (-122.92333 47.03779);PUGET SOUND ENERGY INC;53067011902
5YJ3E1EA8K;Kitsap;Bremerton;WA;98310;2019;131;1;1;220;0;23;321718624;POINT (-122.61136 47.5752);PUGET SOUND ENERGY INC;53035080400
5YJXCBE27L;King;Seattle;WA;98122;2020;133;1;1;293;0;37;172153082;POINT (-122.31009 47.60803);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033007700
1G1FX6S07J;Yakima;Yakima;WA;98901;2018;35;1;1;238;0;13;272262812;POINT (-120.50723 46.60452);PACIFICORP;53077001701
WBY1Z2C52F;Kitsap;Bremerton;WA;98312;2015;20;1;1;81;0;26;183220649;POINT (-122.6563 47.56739);PUGET SOUND ENERGY INC;53035081200
WB523CF08R;Yakima;Selah;WA;98942;2024;25;1;2;0;0;15;272402469;POINT (-120.53145 46.65405);PACIFICORP;53077003200
1C4JJXR61P;Kitsap;Poulsbo;WA;98370;2023;74;2;3;21;0;23;256957333;POINT (-122.64681 47.73689);PUGET SOUND ENERGY INC;53035090202
5UX43EU06R;King;Seattle;WA;98102;2024;27;2;1;39;0;43;275506031;POINT (-122.32427 47.63433);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033006600
KNDCS3LF8R;Kitsap;Kingston;WA;98346;2024;77;2;1;33;0;23;275146042;POINT (-122.4977 47.79802);PUGET SOUND ENERGY INC;53035090101
1N4CZ1CV0P;Kitsap;Bremerton;WA;98312;2023;113;1;2;0;0;35;218062309;POINT (-122.6563 47.56739);PUGET SOUND ENERGY INC;53035092102
KNDCE3LG6L;Thurston;Olympia;WA;98501;2020;77;1;1;239;0;22;258988187;POINT (-122.89166 47.03956);PUGET SOUND ENERGY INC;53067010700
1N4BZ1CP3K;Kitsap;Bainbridge Island;WA;98110;2019;113;1;1;150;0;23;305712949;POINT (-122.521 47.62728);PUGET SOUND ENERGY INC;53035091002
7SAYGDEE9R;Yakima;Yakima;WA;98903;2024;134;1;2;0;0;14;265137365;POINT (-120.4778 46.55351);PACIFICORP;53077002803
5YJ3E1EA8K;Snohomish;Snohomish;WA;98290;2019;131;1;1;220;0;44;144229830;POINT (-122.09305 47.91265);PUGET SOUND ENERGY INC;53061052502
KNDC4DLC9N;Kitsap;Poulsbo;WA;98370;2022;75;1;2;0;0;23;260544014;POINT (-122.64681 47.73689);PUGET SOUND ENERGY INC;53035091100
7PDSGBBA9S;Yakima;Yakima;WA;98908;2025;122;1;2;0;0;14;270117417;POINT (-120.60272 46.59656);PACIFICORP;53077002803
1N4AZ0CP4E;Kitsap;Bainbridge Island;WA;98110;2014;113;1;1;84;0;23;134528019;POINT (-122.521 47.62728);PUGET SOUND ENERGY INC;53035090901
5YJ3E1EC0L;King;Redmond;WA;98052;2020;131;1;1;308;0;48;258148719;POINT (-122.13158 47.67858);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033032325
JN1AZ0CP7C;Snohomish;Snohomish;WA;98290;2012;113;1;1;73;0;44;111690687;POINT (-122.09305 47.91265);PUGET SOUND ENERGY INC;53061052401
5YJ3E1EB0J;Snohomish;Everett;WA;98204;2018;131;1;1;215;0;21;261320776;POINT (-122.27557 47.88936);PUGET SOUND ENERGY INC;53061041905
2C4RC1L7XJ;Kitsap;Poulsbo;WA;98392;2018;40;2;1;33;0;23;476060392;POINT (-122.55242 47.73162);PUGET SOUND ENERGY INC;53035940100
1N4AZ1CP7K;King;Seattle;WA;98102;2019;113;1;1;150;0;43;330872573;POINT (-122.32427 47.63433);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033006100
7SAYGDEE3N;Snohomish;Bothell;WA;98012;2022;134;1;2;0;0;1;220757421;POINT (-122.21061 47.83448);PUGET SOUND ENERGY INC;53061052009
1G1FW6S03H;Thurston;Olympia;WA;98502;2017;35;1;1;238;0;22;172479968;POINT (-122.92333 47.03779);PUGET SOUND ENERGY INC;53067010600
1N4AZ0CP5D;Thurston;Olympia;WA;98502;2013;113;1;1;75;0;22;246351927;POINT (-122.92333 47.03779);PUGET SOUND ENERGY INC;53067010600
JN1AZ0CP8C;Kitsap;Bainbridge Island;WA;98110;2012;113;1;1;73;0;23;181532130;POINT (-122.521 47.62728);PUGET SOUND ENERGY INC;53035091002
5YJSA1E21J;King;Sammamish;WA;98074;2018;132;1;1;249;0;45;3273763;POINT (-122.02054 47.60326);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033032225
KMHC65LD9L;Kitsap;Bremerton;WA;98312;2020;63;2;3;29;0;35;8874211;POINT (-122.6563 47.56739);PUGET SOUND ENERGY INC;53035080900
5YJSA1E26K;Snohomish;Brier;WA;98036;2019;132;1;1;270;0;1;225816587;POINT (-122.29245 47.82557);PUGET SOUND ENERGY INC;53061051914
KNDJP3AE2G;Thurston;Olympia;WA;98501;2016;80;1;1;93;31950;22;13420148;POINT (-122.89166 47.03956);PUGET SOUND ENERGY INC;53067010700
5YJ3E1EC2M;Snohomish;Bothell;WA;98021;2021;131;1;2;0;0;1;150112007;POINT (-122.18384 47.8031);PUGET SOUND ENERGY INC;53061051938
5YJ3E1EB5K;Thurston;Olympia;WA;98501;2019;131;1;1;220;0;22;177568856;POINT (-122.89166 47.03956);PUGET SOUND ENERGY INC;53067011721
5YJ3E1EB2L;Kitsap;Port Orchard;WA;98367;2020;131;1;1;322;0;26;112744838;POINT (-122.68516 47.50645);PUGET SOUND ENERGY INC;53035092801
1FT6W175P;Snohomish;Marysville;WA;98270;2023;48;1;2;0;0;44;238284105;POINT (-122.1769 48.06114);PUGET SOUND ENERGY INC;53061052711
3MW39FF06R;Snohomish;Everett;WA;98204;2024;15;2;3;22;0;21;256013026;POINT (-122.27557 47.88936);PUGET SOUND ENERGY INC;53061041815
5YJSA1E12G;Island;Freeland;WA;98249;2016;132;1;1;210;0;10;226329071;POINT (-122.52664 48.00956);PUGET SOUND ENERGY INC;53029971800
KNDCR3L17P;Stevens;Chewelah;WA;99109;2023;77;1;2;0;0;7;261450409;POINT (-117.71555 48.28136);136 OF CHEWELAH;53065950800
5YJ3E1EA7K;Snohomish;Bothell;WA;98021;2019;131;1;1;220;0;1;478472879;POINT (-122.18384 47.8031);PUGET SOUND ENERGY INC;53061051938
5YJ3E1EA4L;Snohomish;Lake Stevens;WA;98258;2020;131;1;1;266;0;44;127281031;POINT (-122.06402 48.01497);PUGET SOUND ENERGY INC;53061052603
WA1F2AFY4R;Thurston;Olympia;WA;98501;2024;9 E;2;3;23;0;22;273089988;POINT (-122.89166 47.03956);PUGET SOUND ENERGY INC;53067010700
1C4JJXP65P;Thurston;Olympia;WA;98502;2023;74;2;3;21;0;22;240681703;POINT (-122.92333 47.03779);PUGET SOUND ENERGY INC;53067012002
5YJYGDEE0L;Kitsap;Bremerton;WA;98311;2020;134;1;1;291;0;23;127473230;POINT (-122.60915 47.62631);PUGET SOUND ENERGY INC;53035091701
1G1RA6S52H;Snohomish;Lynnwood;WA;98036;2017;39;2;1;53;0;32;150308147;POINT (-122.29245 47.82557);PUGET SOUND ENERGY INC;53061051930
5YJYGDEF7L;King;Auburn;WA;98001;2020;134;1;1;291;0;30;104691751;POINT (-122.23035 47.3074);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033030405
YV4H600L6N;Kitsap;Port Orchard;WA;98366;2022;155;2;1;35;0;26;202938606;POINT (-122.63847 47.54103);PUGET SOUND ENERGY INC;53035092704
KNDRMDLH3N;Snohomish;Marysville;WA;98270;2022;79;2;1;32;0;44;207302462;POINT (-122.1769 48.06114);PUGET SOUND ENERGY INC;53061052104
1G1FW6S07H;Thurston;Olympia;WA;98501;2017;35;1;1;238;0;22;350269272;POINT (-122.89166 47.03956);PUGET SOUND ENERGY INC;53067010700
1N4AZ0CP9D;Kitsap;Port Orchard;WA;98367;2013;113;1;1;75;0;26;207343356;POINT (-122.68516 47.50645);PUGET SOUND ENERGY INC;53035092801
1C4RJYB65R;Grant;Quincy;WA;98848;2024;73;2;3;25;0;13;265423210;POINT (-119.85338 47.23748);PUD NO 2 OF GRANT COUNTY;53025010700
1C4JJXN63P;Grant;Moses Lake;WA;98837;2023;74;2;3;21;0;13;244922849;POINT (-119.2771 47.13196);PUD NO 2 OF GRANT COUNTY;53025011102
5YJXCBE21G;Snohomish;Everett;WA;98208;2016;133;1;1;200;0;44;129845040;POINT (-122.18637 47.89251);PUGET SOUND ENERGY INC;53061041605
5YJXCAE29J;Snohomish;Everett;WA;98204;2018;133;1;1;238;0;21;235282379;POINT (-122.27557 47.88936);PUGET SOUND ENERGY INC;53061041809
JTMCB3FV0R;Stevens;Colville;WA;99114;2024;141 PRIME;2;1;42;0;7;260771871;POINT (-117.90454 48.54657);AVISTA CORP;53065950600
KNDRJDLH7N;Snohomish;Bothell;WA;98021;2022;79;2;1;32;0;1;196148396;POINT (-122.18384 47.8031);PUGET SOUND ENERGY INC;53061051938
1N4BZ1CP3K;Yakima;Yakima;WA;98902;2019;113;1;1;150;0;14;9074544;POINT (-120.52401 46.59739);PACIFICORP;53077000800
5YJ3E1EA2J;King;Burien;WA;98146;2018;131;1;1;215;0;34;263303099;POINT (-122.36178 47.49408);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033026802
5YJ3E1EBXL;Island;Langley;WA;98260;2020;131;1;1;322;0;10;4795598;POINT (-122.40618 48.0399);PUGET SOUND ENERGY INC;53029972000
3C3CFFGE6H;Snohomish;Bothell;WA;98012;2017;42;1;1;84;0;44;111996916;POINT (-122.21061 47.83448);PUGET SOUND ENERGY INC;53061052007
5YJ3E1EB6K;Snohomish;Woodinville;WA;98072;2019;131;1;1;220;0;1;275389719;POINT (-122.15545 47.75448);PUGET SOUND ENERGY INC;53061051926
5UXTA6C0XP;King;Seattle;WA;98199;2023;27;2;1;30;0;36;224616801;POINT (-122.40092 47.65908);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033005600
WBY1Z4C56E;King;Seattle;WA;98107;2014;20;2;1;72;0;36;214448048;POINT (-122.38591 47.67597);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033003202
5YJYGDEFXL;Snohomish;Bothell;WA;98021;2020;134;1;1;291;0;1;103095842;POINT (-122.18384 47.8031);PUGET SOUND ENERGY INC;53061051937
5YJXCBE26G;Yakima;Selah;WA;98942;2016;133;1;1;200;0;15;122670621;POINT (-120.53145 46.65405);PACIFICORP;53077003100
KNDCC3LD4K;Thurston;Lacey;WA;98503;2019;77;2;3;26;0;2;219604451;POINT (-122.82324 47.04437);PUGET SOUND ENERGY INC;53067011628
5YJ3E1E3J;Kitsap;Bremerton;WA;98312;2018;131;1;1;215;0;35;315650730;POINT (-122.6563 47.56739);PUGET SOUND ENERGY INC;53035091301
5UXTA6C05P;King;Seattle;WA;98105;2023;27;2;1;30;0;46;230206245;POINT (-122.31307 47.66127);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033004102
WBA13AG07M;Kitsap;Bremerton;WA;98310;2021;16;2;3;21;0;23;269158305;POINT (-122.61136 47.5752);PUGET SOUND ENERGY INC;53035080400
5YJSA1CN6C;Thurston;Tumwater;WA;98512;2012;132;1;1;265;59900;22;230264730;POINT (-122.9131 47.01359);PUGET SOUND ENERGY INC;53067010910
JM3KKEHA1R;Thurston;Olympia;WA;98512;2024;93;2;3;26;0;35;261532414;POINT (-122.9131 47.01359);PUGET SOUND ENERGY INC;53067011000
1G1RC6E4XB;Thurston;Lacey;WA;98503;2011;39;2;1;35;0;2;106482806;POINT (-122.82324 47.04437);PUGET SOUND ENERGY INC;5306701142
5YJSA1E26G;Thurston;Olympia;WA;98502;2016;132;1;1;210;0;22;249879934;POINT (-122.92333 47.03779);PUGET SOUND ENERGY INC;53067012001
5YJ3E1EB2K;Kittitas;Ellensburg;WA;98926;2019;131;1;1;220;0;13;478012545;POINT (-120.54872 46.99703);PUGET SOUND ENERGY INC;53037975402
5YJ3E1EA7L;Snohomish;Edmonds;WA;98026;2020;131;1;1;266;0;21;103401581;POINT (-122.31768 47.87166);PUGET SOUND ENERGY INC;53061050300
KNDJ26AE7G;Yakima;Yakima;WA;98901;2016;80;1;1;93;31950;15;148905543;POINT (-120.50723 46.60452);PACIFICORP;53077001602
5YJ3E1EA7J;Snohomish;Lynnwood;WA;98036;2018;131;1;1;215;0;32;313694727;POINT (-122.29245 47.82557);PUGET SOUND ENERGY INC;53061051931
5YJXCBE20J;Snohomish;Edmonds;WA;98026;2018;133;1;1;238;0;21;347543220;POINT (-122.31768 47.87166);PUGET SOUND ENERGY INC;53061042005
KNDJ26AE5G;Thurston;Olympia;WA;98506;2016;80;1;1;93;31950;22;246535698;POINT (-122.87741 47.05997);PUGET SOUND ENERGY INC;53067012100
WDC0G5EB3K;Snohomish;Bothell;WA;98021;2019;GL96;2;3;10;0;1;179712795;POINT (-122.18384 47.8031);PUGET SOUND ENERGY INC;53061051116
1N4AZ0CP8D;Thurston;Tumwater;WA;98512;2013;113;1;1;75;0;22;225623513;POINT (-122.9131 47.01359);PUGET SOUND ENERGY INC;53067010910
1N4CZ1CV3S;Yakima;Zillah;WA;98953;2025;113;1;2;0;0;15;273676672;POINT (-120.26226 46.40199);PACIFICORP;53077002201
YV4BC0PL7H;King;Seattle;WA;98109;2017;155;2;3;14;0;36;8158447;POINT (-122.35022 47.63824);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033006703
5YJ3E1EB5K;Yakima;Wapato;WA;98951;2019;131;1;1;220;0;15;272657227;POINT (-120.42083 46.44779);PACIFICORP;53077940008
5YJ3E1EA4J;King;Duvall;WA;98019;2018;131;1;1;215;0;45;177873230;POINT (-121.98609 47.74068);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033032402
KNDRMDLH1R;Thurston;Olympia;WA;98512;2024;79;2;1;32;0;22;261602127;POINT (-122.9131 47.01359);PUGET SOUND ENERGY INC;53067010920
WAUUPBFF9G;King;Burien;WA;98166;2016;3;2;3;16;0;34;102045065;POINT (-122.34102 47.46593);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);5303302742
5YJ3E1EB4J;Yakima;Yakima;WA;98908;2018;131;1;1;215;0;15;474819026;POINT (-120.60272 46.59656);PACIFICORP;53077003400
5YJXCDE26J;King;Issaquah;WA;98029;2018;133;1;1;238;0;5;141273737;POINT (-122.00292 47.54748);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033032221
JTMEB3FV7S;Thurston;Lacey;WA;98513;2025;141 PRIME;2;1;42;0;22;27575420;POINT (-122.81754 46.98876);PUGET SOUND ENERGY INC;53067011622
5YJ3E1EB1J;Kitsap;Bremerton;WA;98311;2018;131;1;1;215;0;23;342987641;POINT (-122.60915 47.62631);PUGET SOUND ENERGY INC;53035091701
JM3KJEHA4S;Spokane;Cheney;WA;99004;2025;92;2;3;26;0;6;271680699;POINT (-117.57445 47.48928);136 OF CHENEY - (WA);53063014001
5YJYGDEE5L;Yakima;Yakima;WA;98908;2020;134;1;1;291;0;14;260554178;POINT (-120.60272 46.59656);PACIFICORP;53077000401
5YJYGDEE7L;Whitman;Pullman;WA;99163;2020;134;1;1;291;0;9;267085227;POINT (-117.18147 46.73015);AVISTA CORP;5307420300
3C3CFFGE0H;Skagit;Bow;WA;98232;2017;42;1;1;84;0;40;4874894;POINT (-122.397 48.56045);PUGET SOUND ENERGY INC;53057950802
5YJ3E1EA5L;Yakima;Yakima;WA;98901;2020;131;1;1;266;0;15;127484339;POINT (-120.50723 46.60452);PACIFICORP;53077001602
5YJ3E1EC3M;Spokane;Rockford;WA;99030;2021;131;1;2;0;0;9;217910577;POINT (-117.13261 47.45227);AVISTA CORP;53063014300
5YJ3E1EB4L;Stevens;Hunters;WA;99137;2020;131;1;1;322;0;7;102434741;POINT (-118.20299 48.11777);AVISTA CORP;53065950900
5YJXCAE2XH;Thurston;Olympia;WA;98512;2017;133;1;1;200;0;35;249659105;POINT (-122.9131 47.01359);PUGET SOUND ENERGY INC;53067011822
JM3KKBHA8R;Douglas;East Wenatchee;WA;98802;2024;93;2;3;26;0;12;256140832;POINT (-120.29473 47.41515);PUD NO 1 OF DOUGLAS COUNTY;53017950600
WBY8P4C59K;Snohomish;Lynnwood;WA;98036;2019;20;2;1;126;0;1;204695333;POINT (-122.29245 47.82557);PUGET SOUND ENERGY INC;53061051914
1N4AZ0CP5D;Kitsap;Bremerton;WA;98310;2013;113;1;1;75;0;23;214384901;POINT (-122.61136 47.5752);PUGET SOUND ENERGY INC;53035080400
KNDCC3LD3K;Snohomish;Everett;WA;98201;2019;77;2;3;26;0;38;316745467;POINT (-122.20596 47.97659);PUGET SOUND ENERGY INC;53061040100
5YJSA1E22G;Island;Langley;WA;98260;2016;132;1;1;210;0;10;173904258;POINT (-122.40618 48.0399);PUGET SOUND ENERGY INC;53029971900
JHMZC5F34J;Snohomish;Lynnwood;WA;98087;2018;60;2;1;47;0;21;180884343;POINT (-122.27981 47.85727);PUGET SOUND ENERGY INC;53061041812
JTMCB3FV28;Spokane;Spokane;WA;99203;2021;141 PRIME;2;1;42;0;6;193704164;POINT (-117.39322 47.63374);MODERN ELECTRIC WATER COMPANY;53063004200
5YJ3E1EB9K;Yakima;Yakima;WA;98901;2019;131;1;1;220;0;15;240744927;POINT (-120.50723 46.60452);PACIFICORP;53077001602
1FADP5CU8D;Snohomish;Monroe;WA;98272;2013;46;2;3;19;0;39;135135983;POINT (-121.98087 47.8526);PUGET SOUND ENERGY INC;53061052204
